source,target,weight,type
Me,Alice,42,message
Me,Bob,18,message
Me,Charlie,7,message
Me,Diana,31,message
Alice,Bob,12,message
Alice,Charlie,5,message
Bob,Diana,9,message
Charlie,Diana,4,message
Alice,Eve,22,message
Eve,Frank,15,message
Eve,Grace,8,message
Frank,Grace,11,message
Grace,Henry,6,message
Henry,Ivy,14,message
Ivy,Jack,19,message
Jack,Ken,3,message
Ken,Leo,10,message
Leo,Me,27,message
Me,Ivy,33,message
Alice,Frank,16,message
Bob,Grace,7,message
Charlie,Henry,5,message
Diana,Ivy,12,message
